  PID TTY      STAT   TIME COMMAND
 2745 ?        Sl     0:13 /usr/share/skypeforlinux/skypeforlinux --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --ms-disable-indexeddb-transaction-timeout --field-trial-handle=3999627699056899190,17003732624304880651,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-GB --app-path=/usr/share/skypeforlinux/resources/app.asar --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/usr/share/skypeforlinux/resources/app.asar/Preload.js --background-color=#fff --node-integration-in-subframes --enable-spellcheck --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=14648945862117210303 --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --skype-process-type=Main --skype-window-id=__MAIN_ROOT_VIEW_ID__
 2760 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2780 ?        SLl    4:23 /opt/google/chrome/chrome
 2786 ?        S      0:00 cat
 2787 ?        S      0:00 cat
 2788 ?        Sl     0:00 zeitgeist-datahub
 2796 ?        S      0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
 2800 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2804 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 2809 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 2832 ?        S      0:00 /opt/google/chrome/nacl_helper
 2835 ?        S      0:00 /opt/google/chrome/chrome --type=zygote
 2860 ?        Sl    10:45 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=5014044049477485034,4092131797823132733,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --shared-files
 2864 ?        SLl    0:47 /opt/google/chrome/chrome --type=utility --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --service-sandbox-type=network --disable-webrtc-apm-in-audio-service --shared-files
 2873 ?        S      0:00 /opt/google/chrome/chrome --type=broker
 2914 ?        Sl     0:37 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files
 2940 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files
 2953 ?        Sl     0:06 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files
 3109 ?        Sl     0:00 update-notifier
 3787 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 3939 ?        Sl     2:35 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=26 --no-v8-untrusted-code-mitigations --shared-files
 3977 ?        Sl     6:24 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=29 --no-v8-untrusted-code-mitigations --shared-files
 3992 ?        Sl     0:03 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=30 --no-v8-untrusted-code-mitigations --shared-files
 4091 ?        Sl    32:38 /usr/bin/gnome-clocks --gapplication-service
 4425 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/notify-osd
 5127 ?        Rl     0:06 /usr/lib/gnome-terminal/gnome-terminal-server
 5134 pts/4    Ss     0:00 bash
 5779 ?        Sl     1:06 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --extension-process --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=101 --no-v8-untrusted-code-mitigations --shared-files
 6256 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
 6267 ?        Sl     0:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
 6269 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
 9028 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=136 --no-v8-untrusted-code-mitigations --shared-files
 9041 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=137 --no-v8-untrusted-code-mitigations --shared-files
 9387 ?        Sl     2:39 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=147 --no-v8-untrusted-code-mitigations --shared-files
 9648 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=5014044049477485034,4092131797823132733,131072 --lang=en-GB --enable-auto-reload --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=160 --no-v8-untrusted-code-mitigations --shared-files
10358 pts/4    R+     0:00 ps -xw
